Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,True Amount,Amount in dz,Local,Vendor,VendorAddress
Farmland Naturally Hickory Smoked Thick Cut Bacon,4.99,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Hormel Black Label Original Bacon 4Pk,9.99,9.99,0.75,12 oz Box,,,,,,Hyvee,,,True,,
Oscar Mayer Naturally Hardwood Smoked Bacon,4.99,8.99,1.0,16 oz,,,,,,Hyvee,,,False,, Harwood MD 
"Oscar Mayer Original Center Cut Bacon, for a Low Carb Lifestyle",4.99,8.99,0.75,12 oz,,,,,,Hyvee,,,False,,
Oscar Mayer Thick Cut Bacon,4.99,8.99,1.0,16 oz,,,,,,Hyvee,,,False,,Furnham Road Chard England TA20 1
Country Smokehouse Thick Hickory Smoked Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,False,,9 Llandudno Road Rhos-on-sea Wales LL28 4TR
Hickory Country Smoked Bacon,4.49,4.99,1.0,16 oz,,,,,,Hyvee,,,False,, Hickory NC 
Hy-Vee Hickory House Applewood Naturally Smoked Thick Sliced Bacon,8.49,8.99,1.5,24 oz Package,,,,,,Hyvee,,,False,,55 St George's Road Harrogate England HG2 9BP
Hy-Vee Sweet Smoked Thick Sliced Bacon,4.89,4.99,1.0,16 oz,,,,,,Hyvee,,,False,,1214 NW 21st Ave Portland OR 97209
Hy-Vee Fully Cooked Hickory Smoked Bacon,3.99,3.99,0.1575,2.52 oz,,,,,,Hyvee,,,False,,
Hormel Black Label Applewood Thick Cut Bacon,7.69,7.69,0.75,12 oz Tray,,,,,,Hyvee,,,True,,
Farmland Naturally Applewood Smoked Classic Cut Bacon,7.49,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Farmland Naturally Hickory Smoked Thick Cut Bacon Package,11.99,11.99,1.5,24 oz Zip Pak,,,,,,Hyvee,,,True,,
Hy-Vee Lower Sodium Sweet Smoked Bacon,4.89,4.99,1.0,16 oz,,,,,,Hyvee,,,False,,1214 NW 21st Ave Portland OR 97209
Wright Naturally Hickory Smoked Bacon,12.49,12.49,1.5,24 oz,,,,,,Hyvee,,,True,,Hickory Ave Oskaloosa IA 52577
"Hormel Bacon, Original, Uncured",7.69,7.69,0.75,12 oz Pack,,,,,,Hyvee,,,True,,
Jimmy Dean FC Hickory Bacon,5.99,6.49,0.1375,2.2 oz Package,,,,,,Hyvee,,,False,,Jimmy Pl NE Hickory NC 28601
Smithfield Hometown Original Bacon,5.99,5.99,0.75,12 oz Package,,,,,,Hyvee,,,False,, Hometown IL 
Farmland Naturally Hickory Smoked Lower Sodium Classic Cut Bacon,4.99,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Hormel Black Label Maple Bacon,7.69,7.69,0.75,12 oz Bag,,,,,,Hyvee,,,True,,
Oscar Mayer Original Fully Cooked Bacon,4.49,6.99,0.1575,2.52 oz,,,,,,Hyvee,,,False,,Furnham Road Chard England TA20 1
Hy-Vee Hickory House Hickory Smoked Thick Sliced Bacon,8.49,8.99,1.5,24 oz Package,,,,,,Hyvee,,,False,, Hickory NC 
Oscar Mayer Selects Smoked Uncured Bacon,7.48,7.48,0.75,12 oz,,,,,,Hyvee,,,False,,Furnham Road Chard England TA20 1
Jimmy Dean FC Applewood Smoked Bacon,5.99,6.49,0.1375,2.2 oz Package,,,,,,Hyvee,,,False,, Denver CO 80215
Oscar Mayer Center Cut Thick Sliced Bacon,4.99,8.99,0.75,12 oz,,,,,,Hyvee,,,False,,
Hormel Black Label Original Thick Cut Bacon,11.49,11.49,1.5,24 oz Bag,,,,,,Hyvee,,,True,,
Wright Naturally Smoked Applewood Bacon,12.49,12.49,1.5,24 oz Package,,,,,,Hyvee,,,False,, Denver CO 80215
Smithfield Naturally Hickory Smoked Thick Cut Bacon,5.99,5.99,0.75,12 oz,,,,,,Hyvee,,,False,,Hickory Ln Smithfield RI 02828
Hy-Vee Hickory House Peppered Naturally Smoked Thick Sliced Bacon,8.49,8.99,1.5,24 oz Package,,,,,,Hyvee,,,False,,5101 W Holiday Dr Peoria IL 61615
Farmland Naturally Applewood Smoked Thick Cut Bacon,11.99,11.99,1.5,24 oz Zip Pak,,,,,,Hyvee,,,True,,
Farmland Naturally Hickory Smoked Extra Thick Cut Bacon,4.99,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Hormel Black Label Cherrywood Thick Cut Bacon,7.69,7.69,0.75,12 oz Blister Pack,,,,,,Hyvee,,,True,,
Hy-Vee Blue Ribbon Maple Naturally Smoked Thick Sliced Bacon,8.49,8.99,1.5,24 oz Package,,,,,,Hyvee,,,False,,119 Sullivan St New York NY 10012
Farmland Naturally Hickory Smoked 30% Less Fat Center Cut Bacon,4.99,7.49,0.75,12 oz,,,,,,Hyvee,,,True,,
Bourbon & Brown Sugar Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,False,, Bourbon MO 
Hormel Natural ChoiceOriginal Thick Cut Uncured Bacon,11.49,11.49,1.25,20 oz Package,,,,,,Hyvee,,,True,,
Farmland Naturally Hickory Smoked Double Smoked Classic Cut Bacon,4.99,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Des Moines Bacon & Meat Company Hardwood Smoked Uncured Country Bacon,6.49,6.99,0.75,12 oz Package,,,,,,Hyvee,,,True,,300 Walnut St Des Moines IA 50309
Hormel Black Label Jalapeno Thick Cut Bacon,7.99,7.99,0.75,12 oz Tray,,,,,,Hyvee,,,True,,
Oscar Mayer Naturally Hardwood Smoked Thick Cut Applewood Bacon,4.99,8.99,1.0,16 oz,,,,,,Hyvee,,,False,,Applewood Rd Baton Rouge LA 70808
Des Moines Bacon & Meat Company Applewood Smoked Bacon,6.49,6.99,0.75,12 oz Package,,,,,,Hyvee,,,True,,300 Walnut St Des Moines IA 50309
Oscar Mayer Natural Fully Cooked Uncured Bacon,7.49,7.49,0.1575,2.52 oz,,,,,,Hyvee,,,False,,Furnham Road Chard England TA20 1
Hy-Vee Grade A Large Eggs,3.29,3.49,,,,,,,,Hyvee,WIC Eligible,,False,,
Hy-Vee Grade A Large Eggs,4.99,4.99,,,,,,,,Hyvee,18 ct,1.5,False,,
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,5.99,5.99,,,,,,,,Hyvee,12 ct Carton,1.0,True,,1956 520th St SW Kalona IA 52247
That's Smart! Large Shell Eggs,1.99,1.99,,,,,,,,Hyvee,12 ct,1.0,False,,850 Wolcott St Waterbury CT 06705
Farmers Hen House Free Range Grade A Large Brown Eggs,4.99,4.99,,,,,,,,Hyvee,12 ct Carton,1.0,False,,
Hy-Vee Grade A Extra Large Eggs,5.29,5.29,,,,,,,,Hyvee,18 ct Carton,1.5,False,,
Eggland's Best Classic Large White Eggs,5.98,5.98,,,,,,,,Hyvee,18 ct,1.5,False,,281 Witton Road Birmingham England B6 6NT
Eggland's Best Classic Large White Eggs,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,,281 Witton Road Birmingham England B6 6NT
Hy-Vee Free Range Large Brown Egg Grade A,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,, Brown Range Western Australia 
Hy-Vee Grade A Jumbo Eggs,3.79,3.79,,,,,,,,Hyvee,12 ct,1.0,False,,
Hy-Vee Cage Free Large Brown Egg Grade A,5.98,5.98,,,,,,,,Hyvee,18 ct,1.5,False,,
Eggland's Best Cage Free Large Brown Eggs,5.49,5.49,,,,,,,,Hyvee,12 ct,1.0,False,,70 E Swedesford Rd Malvern PA 19355
Hy-Vee Cage Free Large Brown Egg Grade A,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,,
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,, Tokologo Free State 
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,6.99,6.99,,,,,,,,Hyvee,12 ct Carton,1.0,False,,
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.49,5.49,,,,,,,,Hyvee,12 ct,1.0,False,,1040 E Commerce Blvd Slinger WI 53086
Eggland's Best Classic Extra Large White Eggs,4.19,4.19,,,,,,,,Hyvee,12 ct,1.0,False,,70 E Swedesford Rd Malvern PA 19355
Hy-Vee Grade A Extra Large Eggs,3.69,3.69,,,,,,,,Hyvee,12 ct,1.0,False,,
Eggland's Best Classic Extra Large White Eggs,6.28,6.28,,,,,,,,Hyvee,18 ct,1.5,False,,70 E Swedesford Rd Malvern PA 19355
Hy-Vee One Step Pasture Raised Large Brown Eggs,4.99,4.99,,,,,,,,Hyvee,1 dz,1.0,False,, St. John Figtree Nevis 
Farmers Hen House Jumbo Brown Eggs,4.99,4.99,,,,,,,,Hyvee,12 ct,1.0,True,,1956 520th St SW Kalona IA 52247
"Nellie's Eggs, Brown, Free Range, Large",7.99,7.99,,,,,,,,Hyvee,18 ct,1.5,False,,
Hy-Vee Grade A Medium Eggs,2.89,2.89,,,,,,,,Hyvee,12 ct,1.0,False,,
"Pete & Gerry's Eggs, Organic, Brown, Free Range, Large",6.99,6.99,,,,,,,,Hyvee,12 ct,1.0,False,, St Petersburg FL 
Eggland's Best 100% USDA Organic Certified Large Brown Eggs,6.79,6.79,,,,,,,,Hyvee,12 ct,1.0,False,,2 Ridgedale Ave Hanover Twp NJ 07927
Nellie's Free Range Eggs Large Fresh Brown Grade A,5.99,5.99,,,,,,,,Hyvee,12 ct,1.0,False,,
Hy-Vee Grade A Large Eggs,1.99,1.99,,,,,,,,Hyvee,6 ct,0.5,False,,
Farmers Hen House Organic Large Brown Eggs,3.49,3.49,,,,,,,,Hyvee,6 ct,0.5,True,,1956 520th St SW Kalona IA 52247
