Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,Address,Local,Vendor,VendorAddress,True Amount,Amount in dz
"Bolthouse Farms Carrots, Baby Cut 1 Lb",1.69,1.69,1,1 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Premium 16 Oz",1.39,1.39,1.0,16 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Premium 908 G",1.99,2.59,,,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Premium, Sweet Petites 12 Oz",2.79,2.79,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Baby Cut 2 Lb",2.99,2.99,2,2lb bag,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Cooking, French Cut, Premium Matchstix 10 Oz",2.29,2.29,0.625,10 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, French Farm Canterbury ,,
Best Choice Fancy Sliced Carrots 14.5 Oz,1.19,1.19,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Best Choice Steamable Crinkle Cut Carrot 12 Oz,1.49,2.39,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
"Libby's Carrots, Sliced 14.5 Oz",1.29,1.49,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,14 E Libby St Phoenix AZ 85022,,
"Grimmway Farms Carrots, California, Whole 80 Oz",4.99,4.99,5,5 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,14141 Di Giorgio Rd Arvin CA 93203,,
Always Save Sliced Carrots 14.5 Oz,1.19,1.19,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Del Monte Fresh Cut Sliced Carrots 14.5 Oz Can,1.49,2.19,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, San Jose del Monte Central Luzon ,,
"Cal Organic Farms Baby Carrots, Rainbow, Cut & Peeled 12 Oz",2.89,2.99,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,226 Calle Río Colorado Oriente Del Valle NL 66220,,
"Bolthouse Farms Carrot Sticks, Premium 12 Oz",2.79,2.79,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,13475 Spruce Ave Grant MI 49327,,
Best Choice Steamable Peas And Carrots 12 Oz,1.49,2.39,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,35 Bartholomew Street Newbury England RG14 5LL,,
Birds Eye Whole Grain Rice With Broccoli & Carrots 10 Oz,1.79,2.69,0.625,10 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,New Square Feltham England TW14 8,,
"Birds Eye Whole Grain Rice, With Corn, Carrots & Peas 10 Oz",2.69,2.69,0.625,10 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,New Square Feltham England TW14 8,,
Best Choice Peas & Sliced Carrots 15 Oz,1.19,1.19,0.9375,15 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Del Monte Peas & Carrots 14.5 Oz,2.39,2.39,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, San Jose del Monte Central Luzon ,,
"Birds Eye Carrots, Broccoli & Cauliflower 10.8 Oz",2.59,3.29,0.675,10.8 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,Birds Eye View Dr Morgantown WV 26501,,
"The Little Potato Co. Potatoes, Fresh 1.5 Lb",4.29,4.29,1.5,1.5 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
"The Little Potato Company Potatoes, Fresh Little Potatoes, Little Trios 1.5 Lb",4.29,4.29,1.5,1.5 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
"The Little Potato Company Potatoes, Fresh Creamer, Dynamic Duo 1.5 Lb",4.29,4.29,1.5,1.5 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
"The Little Potato Co. Fresh Potatoes, Little Reds 1.5 Lb",4.29,4.29,1.5,1.5 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
The Little Potato Company Ready In 5 Minutes 7.5 In,4.99,4.99,,,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
"The Little Potato Co. Fresh Potatoes, With Seasoning Pack 1 Lb",4.99,4.99,1,1 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
"The Little Potato Potatoes,  Fresh Creamer, Savory Herb 454 G",4.99,4.99,,,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
"The Little Potato Co. Fresh Potatoes, With Seasoning Pack 1 Lb",4.99,4.99,1,1 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,11749 180 St NW Edmonton AB T5S 2H6,,
